iso_year,iso_week,damaged_buildings
2022,5,1
2022,8,30
2022,9,36
2022,10,41
2022,11,34
2022,12,31
2022,13,30
2022,14,40
2022,15,40
2022,16,58
2022,17,38
2022,18,50
2022,19,24
2022,20,55
2022,21,75
2022,22,52
2022,23,41
2022,24,53
2022,25,53
2022,26,59
2022,27,31
2022,28,23
2022,29,43
2022,30,49
2022,31,38
2022,32,45
2022,33,21
2022,34,22
2022,35,13
2022,36,2
2022,37,1
2022,38,1
2022,39,5
2022,40,33
2022,41,1
2022,42,2
2022,43,10
2022,44,43
2022,45,57
2022,46,40
2022,47,27
2022,48,39
2022,49,40
2022,50,56
2022,51,74
2022,52,79
2023,1,59
2023,2,63
2023,3,43
2023,4,71
2023,5,35
2023,6,66
2023,7,44
2023,8,34
2023,9,79
2023,10,28
2023,11,40
2023,12,42
2023,13,32
2023,14,47
2023,15,74
2023,16,36
2023,17,57
2023,18,72
2023,19,152
2023,20,89
2023,21,107
2023,22,73
2023,23,139
2023,24,109
2023,25,71
2023,26,43
2023,27,40
2023,28,52
2023,29,117
2023,30,55
2023,31,81
2023,32,76
2023,33,94
2023,34,96
2023,35,90
2023,36,95
2023,37,64
2023,38,78
2023,39,93
2023,40,73
2023,41,89
2023,42,85
2023,43,75
2023,44,66
2023,45,36
2023,46,54
2023,47,38
2023,48,87
2023,49,90
2023,50,50
2023,51,65
2023,52,144
2024,1,117
2024,2,72
2024,3,68
2024,4,118
2024,5,109
2024,6,90
2024,7,69
2024,8,146
2024,9,95
2024,10,133
2024,11,105
2024,12,83
2024,13,38
2024,14,89
2024,15,52
2024,16,35
2024,17,43
2024,18,78
2024,19,112
2024,20,54
2024,21,72
2024,22,96
2024,23,75
2024,24,55
2024,25,85
2024,26,69
2024,27,91
2024,28,45
2024,29,54
2024,30,76
2024,31,66
2024,32,90
2024,33,58
2024,34,57
2024,35,112
2024,36,151
2024,37,105
2024,38,166
2024,39,283
2024,40,167
2024,41,113
2024,42,154
2024,43,196
2024,44,212
2024,45,126
2024,46,184
2024,47,94
2024,48,116
2024,49,160
2024,50,122
2024,51,155
2024,52,128
2025,1,132
2025,2,131
2025,3,119
2025,4,163
2025,5,153
2025,6,144
2025,7,170
2025,8,237
2025,9,279
2025,10,230
2025,11,201
2025,12,206
2025,13,197
2025,14,204
2025,15,168
2025,16,157
2025,17,294
2025,18,226
2025,19,146
2025,20,188
2025,21,227
2025,22,219
2025,23,214
2025,24,153
2025,25,157
2025,26,233
2025,27,244
2025,28,236
2025,29,157
2025,30,184
2025,31,141
2025,32,128
2025,33,82
2025,34,168
2025,35,163
2025,36,139
2025,37,197
2025,38,135
2025,39,181
2025,40,149
2025,41,167
2025,42,193
2025,43,187
2025,44,121
2025,45,130
2025,46,140
2025,47,149
2025,48,74
2025,49,116
2025,50,98
2025,51,81
2025,52,89
2026,1,59
2026,2,83
2026,3,76
2026,4,110
2026,5,181
2026,6,108
2026,7,96
2026,8,107
2026,9,75
2026,10,49
2026,11,92
2026,12,76
2026,13,137
2026,14,703
2026,15,65
2026,16,95
2026,17,95
2026,18,94
2026,19,92
2026,20,81
2026,21,148
2026,22,67
2026,23,134
2026,24,88
2026,25,127
2026,26,111
2026,27,34
